800530,ranchSpring
80D9D0,ranchSummer
81AE30,ranchFall
828FC0,ranchWinter
836420,annRoom
83DC90,ranchBarn
849700,ranchStore
84F100,ranchHouse
856B80,emptyMap1
856B90,beachSpring
85EE70,beachSummer
867150,beachFall
86F430,beachWinter
877710,raceTrackSpring
87F510,emptyMap2
87F520,raceTrackFall
887320,raceTrackWinter
88F120,mountain1Spring
8A6C20,mountain1Summer
8BE720,mountain1Fall
8D6220,mountain1Winter
8ED8E0,mountain2Spring
905980,mountain2Summer
91D8A0,mountain2Fall
9357C0,mountain2Winter
94D6E0,topOfMountain1Spring
961BD0,topOfMountain1Summer
975E50,topOfMountain1Fall
98A0D0,topOfMountain1Winter
99F9C0,moonMountainSpring
9B4530,moonMountainSummer
9C90A0,moonMountainFall
9DDC10,moonMountainWinter
9F2780,carpenterHut
9FAA80,dumplingHouse
A04C80,pondSpring
A0CEC0,pondSummer
A14F10,pondFall
A1CF60,pondWinter
A24FB0,elliRoom
A2C350,bakery
A33460,village1Spring
A4C640,village1Summer
A65820,village1Fall
A7F2B0,village1Winter
A98210,village2Spring
AAC2C0,village2Summer
AC0370,village2Fall
AD4420,village2Winter
AE84D0,popuriRoom
AEF920,flowerShop
AF4F00,church
AFAAC0,souvenirShop
AFF110,squareSpring
B0E3C0,squareSummer
B1D460,squareFall
B2C500,squareWinter
B38990,rickShop
B3CE10,midwifeHouse
B41CC0,tavern
B4A9C0,library
B4E440,mariaRoom
B543D0,mayorHouse
B5B0B0,potionShopBackroom
B60990,potionShop
B64E30,emptyMap3
B64E40,harvestSpriteCave
B6AAC0,cave
B6E700,emptyMap4
B6E710,mine
B6FB70,karenRoom
B7AFB0,vineyardSpring
B8B840,vineyardSummer
B9C0D0,vineyardFall
BAC960,vineyardWinter
BBCD10,vineyardHouse
BC5710,vineyardCellar
BC9C30,vineyardCellar2
BD1C80,roadSpring
BDBD50,roadSummer
BE5E20,roadFall
BEFEF0,roadWinter
BF9FC0,farmSpring
C13C40,farmSummer
C2D8C0,farmFall
C47540,farmWinter
C609F0,greenhouse
C64D60,house
C72FB0,barn
C7DE40,coop
C840E0,kitchen
C8D5C0,bathroom
C951A0,end
