F4B50,F50D0,player
F50D0,F51D0,maria
F51D0,F52F0,popuri
F52F0,F53F0,elli
F53F0,F5500,ann
F5500,F55F4,karen
F55F4,F5660,gray
F5660,F56C8,jeff
F56C8,F5718,cliff
F5718,F5778,kai
F5778,F57A8,rick
F57A8,F57CC,masterCarpenter
F57CC,F57FC,shadySalesman
F57FC,F5820,duke
F5820,F5870,harvestSprite
F5870,F5890,princess
F5890,F58BC,may
F58BC,F58E0,touristCoupleMan
F58E0,F5900,touristCoupleWoman
F5900,F5920,oldMan
F5920,F5940,oldWoman
F5940,F5960,festivalGirl1
F5960,F5980,festivalGirl2
F5980,F59A0,festivalGirl3
F59A0,F59E4,midwife
F59E4,F5A0C,mayorWife
F5A0C,F5A34,lillia
F5A34,F5A54,mariaHarrisBaby
F5A54,F5A74,popuriGrayBaby
F5A74,F5A94,elliJeffBaby
F5A94,F5AB4,annCliffBaby
F5AB4,F5AD4,karenKaiBaby
F5AD4,F5BF4,baby
F5BF4,F5C1C,pastor
F5C1C,F5C40,sasha
F5C40,F5C6C,potionShopDealer
F5C6C,F5CC4,harris
F5CC4,F5CF8,mayor
F5CF8,F5D1C,doug
F5D1C,F5D40,gotz
F5D40,F5D74,shipper
F5D74,F5DA0,basil
F5DA0,F5E00,kent
F5E00,F5E5C,stu
F5E5C,F5ECC,assistantCarpenter
F5ECC,F5EF0,entomologist
F5EF0,F5F24,greg
F5F24,F5F54,photographer
F5F54,F5F84,saibara
F5F84,F5F98,ellen
F5F98,F5FB8,barley
F5FB8,F5FF8,sydney
F5FF8,F6004,spiritFestivalOcarinaPerformer
F6004,F6028,gourmetJudge
F6028,F6048,mrsMana
F6048,F6068,john
F6068,F606C,kappa
F606C,F6090,harvestGoddess
F6090,F6240,dog
F6240,F6330,dogVillage
F6330,F63A0,chicken
F63A0,F63D0,chick
F63D0,F6650,cow
F6650,F6710,calf
F6710,F67D0,youngCow
F67D0,F68A0,cowIndoors
F68A0,F69A0,sheep
F69A0,F6A00,lamb
F6A00,F6AB0,horseGrown
F6AB0,F6B20,horsePony
F6B20,F6BA0,cat
F6BA0,F6BC0,horseUnbridled
F6BC0,F6C00,fox
F6C00,F6C40,squirrel
F6C40,F6C90,monkey
F6C90,F6CD0,hawk
F6CD0,F6D10,bunny
F6D10,F6D34,mouse
F6D34,F6D64,bird
F6D64,F6D84,crab
F6D84,F6DA4,snake
F6DA4,F6DB4,whiteButterfly
F6DB4,F6DBC,ladybug
F6DBC,F6DC4,cicada
F6DC4,F6DD4,hornedBeetle
F6DD4,F6DE4,stagBeetle
F6DE4,F6DEC,dragonfly
F6DEC,F6DF4,cricket
F6DF4,F6DFC,homeItems
F6DFC,F6E10,expressionBubbles
F6E10,F7010,heldItems
F7010,F70A0,thrownItems
F70A0,F7100,tools
F7100,F7118,toolEffects
F7118,F71B0,characterAvatars
