F4AC0,F5040,player
F5040,F5140,maria
F5140,F5260,popuri
F5260,F5360,elli
F5360,F5470,ann
F5470,F5564,karen
F5564,F55D0,gray
F55D0,F5638,jeff
F5638,F5688,cliff
F5688,F56E8,kai
F56E8,F5718,rick
F5718,F573C,masterCarpenter
F573C,F576C,shadySalesman
F576C,F5790,duke
F5790,F57E0,harvestSprite
F57E0,F5800,princess
F5800,F582C,may
F582C,F5850,touristCoupleMan
F5850,F5870,touristCoupleWoman
F5870,F5890,oldMan
F5890,F58B0,oldWoman
F58B0,F58D0,festivalGirl1
F58D0,F58F0,festivalGirl2
F58F0,F5910,festivalGirl3
F5910,F5954,midwife
F5954,F597C,mayorWife
F597C,F59A4,lillia
F59A4,F59C4,mariaHarrisBaby
F59C4,F59E4,popuriGrayBaby
F59E4,F5A04,elliJeffBaby
F5A04,F5A24,annCliffBaby
F5A24,F5A44,karenKaiBaby
F5A44,F5B64,baby
F5B64,F5B8C,pastor
F5B8C,F5BB0,sasha
F5BB0,F5BDC,potionShopDealer
F5BDC,F5C34,harris
F5C34,F5C68,mayor
F5C68,F5C8C,doug
F5C8C,F5CB0,gotz
F5CB0,F5CE4,shipper
F5CE4,F5D10,basil
F5D10,F5D70,kent
F5D70,F5DCC,stu
F5DCC,F5E3C,assistantCarpenter
F5E3C,F5E60,entomologist
F5E60,F5E94,greg
F5E94,F5EC4,photographer
F5EC4,F5EF4,saibara
F5EF4,F5F08,ellen
F5F08,F5F28,barley
F5F28,F5F68,sydney
F5F68,F5F74,spiritFestivalOcarinaPerformer
F5F74,F5F98,gourmetJudge
F5F98,F5FB8,mrsMana
F5FB8,F5FD8,john
F5FD8,F5FDC,kappa
F5FDC,F6000,harvestGoddess
F6000,F61B0,dog
F61B0,F62A0,dogVillage
F62A0,F6310,chicken
F6310,F6340,chick
F6340,F65C0,cow
F65C0,F6680,calf
F6680,F6740,youngCow
F6740,F6810,cowIndoors
F6810,F6910,sheep
F6910,F6970,lamb
F6970,F6A20,horseGrown
F6A20,F6A90,horsePony
F6A90,F6B10,cat
F6B10,F6B30,horseUnbridled
F6B30,F6B70,fox
F6B70,F6BB0,squirrel
F6BB0,F6C00,monkey
F6C00,F6C40,hawk
F6C40,F6C80,bunny
F6C80,F6CA4,mouse
F6CA4,F6CD4,bird
F6CD4,F6CF4,crab
F6CF4,F6D14,snake
F6D14,F6D24,whiteButterfly
F6D24,F6D2C,ladybug
F6D2C,F6D34,cicada
F6D34,F6D44,hornedBeetle
F6D44,F6D54,stagBeetle
F6D54,F6D5C,dragonfly
F6D5C,F6D64,cricket
F6D64,F6D6C,homeItems
F6D6C,F6D80,expressionBubbles
F6D80,F6F80,heldItems
F6F80,F7010,thrownItems
F7010,F7070,tools
F7070,F7088,toolEffects
F7088,F7120,characterAvatars
