FFA60,100620,farmBusiness
100620,109D90,farmVisits
109D90,10EE50,houseCutscenes
10EE50,10FD50,roadCutscenes
10FD50,1156B0,mountainCutscenes
1156B0,117990,ranchCutscenes
117990,119110,vineyardCutscenes
119110,120AC0,village1Cutscenes
120AC0,123EA0,village2Cutscenes
123EA0,1253B0,beachCutscenes
1253B0,129820,sowingFestival
129820,12FE90,horseRace
12FE90,134290,flowerFestival
134290,135C70,vegetableFestival
135C70,136660,fireworksFestival
136660,138270,fireflyFestival
138270,1394D0,seaFestival
1394D0,13AC40,cowFestival
13AC40,13D070,harvestFestival
13D070,13F6C0,eggFestival
13F6C0,144AF0,dogRace
144AF0,148140,spiritFestival
148140,149850,newYearFestival
149850,14B3E0,funeralIntro
14B3E0,14FBA0,evaluationEnding
14FBA0,150B30,demos
150B30,158D30,howToPlay
